precursor_formulas,target_formula,Reaction,Year,Heating Operations,Heating Temperatures,Heating Times,Sintering Temperature,Sintering Time,Calcination Temperature,Calcination Time,DOI,Elements Match,Available Values Count,precursor_formulas_set
"['TiO2', 'La2O3', 'Li2CO3']",Li0.5La0.5Ti1O3,0.25 La2O3 + 0.25 Li2CO3 + 1 TiO2 == 1 Li0.5La0.5TiO3 + 0.25 CO2,2005,"['calcined', 'heated', 'heated']","[[800.0], [1150.0], [1350.0]]","[[4.0], [], []]",1033.3333333333333,6.5,1033.3333333333333,4.333333333333333,10.1021/cm047841f,True,4,"['La2O3', 'Li2CO3', 'TiO2']"
"['LiNO3', 'La2O3', 'Fe2O3']",Li0.5La1Fe0.2O2.09,0.1 Fe2O3 + 0.5 La2O3 + 0.5 LiNO3 + 0.02 O2 + 0.5 [OH-] == 1 LaLi0.5Fe0.2O2.09 + 0.25 H2O + 0.5 [NO3-],2011,"['heated', 'sintered', 'cured']","[[600.0], [850.0], [600.0]]","[[], [20.0], [1.0]]",850.0,20.0,,,10.1021/cm200823p,True,2,"['Fe2O3', 'La2O3', 'LiNO3']"
"['MnO', 'Fe2O3', 'Li2CO3']",Li0.5Mn0.5Fe2O4,1 Fe2O3 + 0.25 Li2CO3 + 0.5 MnO + 0.125 O2 == 1 Li0.5Mn0.5Fe2O4 + 0.25 CO2,2013,"['pre-fired', 'fired', 'sintered', 'sintered']","[[700.0], [1000.0, 900.0], [1200.0, 1100.0, 1000.0], [1200.0, 1100.0, 1000.0]]","[[10.0], [10.0, 5.0], [15.0, 24.0, 24.0], [2.0]]",1200.0,2.0,,,10.1063/1.4845895,True,2,"['Fe2O3', 'Li2CO3', 'MnO']"
"['LiNO3', 'La2O3', 'Fe2O3']",Li0.69La0.94Fe0.2O2.09,0.1 Fe2O3 + 0.47 La2O3 + 0.69 LiNO3 + 0.018 O2 + 0.69 [OH-] == 1 La0.94Li0.69Fe0.2O2.09 + 0.345 H2O + 0.69 [NO3-],2011,"['heated', 'sintered', 'cured']","[[600.0], [850.0], [600.0]]","[[], [20.0], [1.0]]",850.0,20.0,,,10.1021/cm200823p,True,2,"['Fe2O3', 'La2O3', 'LiNO3']"
"['LiNO3', 'La2O3', 'Fe2O3']",Li0.75La1Fe0.14O2.09,0.07 Fe2O3 + 0.5 La2O3 + 0.75 LiNO3 + 0.002 O2 + 0.75 [OH-] == 1 LaLi0.75Fe0.14O2.09 + 0.375 H2O + 0.75 [NO3-],2011,"['heated', 'sintered', 'cured']","[[600.0], [850.0], [600.0]]","[[], [20.0], [1.0]]",850.0,20.0,,,10.1021/cm200823p,True,2,"['Fe2O3', 'La2O3', 'LiNO3']"
"['FePO4', 'Cr(NO3)3', 'Li2CO3']",Li0.97Cr0.01Fe1P1O4,0.01 Cr(NO3)3 + 1 FePO4 + 0.485 Li2CO3 + 0.03 [OH-] == 1 Li0.97Cr0.01FePO4 + 0.485 CO2 + 0.015 H2O + 0.25 O2 + 0.03 [NO3-],2006,['sintered'],[[800.0]],[[16.0]],800.0,16.0,,,10.1016/j.jpowsour.2005.08.045,True,2,"['Cr(NO3)3', 'FePO4', 'Li2CO3']"
"['MnO2', 'MgO', 'LiHO']",Li1.034Mg0.08Mn1.886O4.01,1.034 LiOH + 0.08 MgO + 1.886 MnO2 == 1 Li1.034Mg0.080Mn1.886O4.010 + 0.517 H2O + 0.18 O2,2004,"['preheated', 'sintered', 'annealed']","[[470.0], [950.0], [800.0]]","[[5.0], [10.0], []]",950.0,10.0,800.0,,10.1016/j.electacta.2003.11.032,True,3,"['LiHO', 'MgO', 'MnO2']"
"['MnO2', 'MgO', 'LiHO']",Li1.036Mg0.1Mn1.864O4.021,1.036 LiOH + 0.1 MgO + 1.864 MnO2 == 1 Li1.036Mg0.10Mn1.864O4.021 + 0.518 H2O + 0.162 O2,2004,"['preheated', 'sintered', 'annealed']","[[470.0], [950.0], [800.0]]","[[5.0], [10.0], []]",950.0,10.0,800.0,,10.1016/j.electacta.2003.11.032,True,3,"['LiHO', 'MgO', 'MnO2']"
"['Fe(CO2)2', 'PH6NO4', 'CuO', 'Li2CO3']",Li1.05Fe0.997Cu0.003P1O4,0.003 CuO + 0.997 FeC2O4·2H2O + 0.525 Li2CO3 + 1 NH4H2PO4 + 0.486 O2 == 1 Li1.05Fe0.997Cu0.003PO4 + 2.519 CO2 + 3.494 H2O + 1 NH3,2009,['calcined'],"[[660.0, 400.0]]","[[2.5, 1.5]]",,,660.0,2.5,10.1016/j.matlet.2008.11.053,True,2,"['CuO', 'Fe(CO2)2', 'Li2CO3', 'PH6NO4']"
"['Fe(CO2)2', 'PH6NO4', 'Li2CO3']",Li1.05Fe1P1O4,1 FeC2O4·2H2O + 0.525 Li2CO3 + 1 NH4H2PO4 + 0.488 O2 == 1 Li1.05FePO4 + 2.525 CO2 + 3.5 H2O + 1 NH3,2009,['calcined'],"[[660.0, 400.0]]","[[2.5, 1.5]]",,,660.0,2.5,10.1016/j.matlet.2008.11.053,True,2,"['Fe(CO2)2', 'Li2CO3', 'PH6NO4']"
"['Al(HO)3', 'LiF', 'Mn3O4', 'LiHO']",Li1.05Mn1.85Al0.1O3.95F0.05,0.1 Al(OH)3 + 0.05 LiF + 1 LiOH + 0.617 Mn3O4 + 0.417 O2 == 1 Li1.05Al0.1Mn1.85O3.95F0.05 + 0.65 H2O,2006,"['precalcined', 'calcined']","[[530.0], [850.0]]","[[5.0], [20.0]]",,,850.0,20.0,10.1149/1.2197649,True,2,"['Al(HO)3', 'LiF', 'LiHO', 'Mn3O4']"
"['Co(NO3)2', 'LiF', 'LiHO', 'MnHO2']",Li1.05Mn1.9Co0.1O3.95F0.05,0.1 Co(NO3)2·4H2O + 0.05 LiF + 1 LiOH·H2O + 1.9 MnOOH + 0.25 O2 + 0.2 [OH-] == 1 Li1.05Co0.1Mn1.9O3.95F0.05 + 2.95 H2O + 0.2 [NO3-],2013,['calcined'],[[800.0]],[[12.0]],,,800.0,12.0,10.1039/c3ta13499g,True,2,"['Co(NO3)2', 'LiF', 'LiHO', 'MnHO2']"
"['MnO2', 'Li2CO3']",Li1.05Mn2O4,0.525 Li2CO3 + 2 MnO2 == 1 Li1.05Mn2O4 + 0.525 CO2 + 0.262 O2,2012,['calcined'],[[550.0]],[[2.0]],,,550.0,2.0,10.1016/j.electacta.2011.12.091,True,2,"['Li2CO3', 'MnO2']"
"['MnO2', 'Co3O4', 'Gd2O3', 'Li2CO3']",Li1.15Gd0.01Mn1.96Co0.03O4,0.01 Co3O4 + 0.005 Gd2O3 + 0.575 Li2CO3 + 1.96 MnO2 == 1 Li1.15Mn1.96Co0.03Gd0.01O4 + 0.575 CO2 + 0.275 O2,2009,['calcined'],"[[600.0, 850.0]]","[[10.0, 5.0]]",,,600.0,10.0,10.1016/j.ssi.2009.01.011,True,2,"['Co3O4', 'Gd2O3', 'Li2CO3', 'MnO2']"
"['RuO2', 'NiO', 'MnO2', 'LiHO']",Li1.1Mn1.5Ni0.35Ru0.05O4,1.1 LiOH + 1.5 MnO2 + 0.35 NiO + 0.05 RuO2 == 1 Li1.1Ni0.35Ru0.05Mn1.5O4 + 0.55 H2O,2009,"['calcined', 'calcined']","[[650.0], [800.0]]","[[5.0], [15.0]]",,,800.0,15.0,10.1016/j.elecom.2009.05.054,True,2,"['LiHO', 'MnO2', 'NiO', 'RuO2']"
"['MnO2', 'NiO', 'Li2CO3']",Li1.1Mn1.8Ni0.1O4,0.55 Li2CO3 + 1.8 MnO2 + 0.1 NiO == 1 LiMn1.8Li0.1Ni0.1O4 + 0.55 CO2 + 0.125 O2,2009,"['heating', 'annealing']","[[], [450.0]]","[[], []]",,,450.0,,10.1016/j.ssi.2009.03.012,True,1,"['Li2CO3', 'MnO2', 'NiO']"
"['TiO2', 'Nb2O5', 'Li2CO3']",Li1.1Ti0.5Nb0.58O3,0.55 Li2CO3 + 0.29 Nb2O5 + 0.5 TiO2 == 1 Li1.1Nb0.58Ti0.5O3 + 0.55 CO2,2010,['calcined'],[[900.0]],[[2.0]],,,900.0,2.0,10.1007/s10854-009-9894-3,True,2,"['Li2CO3', 'Nb2O5', 'TiO2']"
"['Li1Mn1.5Ni0.5O4', 'Li2CO3']",Li1.25Mn0.75Ni0.25O2.375,0.375 Li2CO3 + 0.5 LiNi0.5Mn1.5O4 == 1 Li1.25Ni0.25Mn0.75O2.375 + 0.375 CO2,2009,"['treated', 'calcination', 'calcination']","[[], [600.0], [900.0]]","[[], [15.0], [15.0]]",,,900.0,15.0,10.1039/b904098f,True,2,"['Li1Mn1.5Ni0.5O4', 'Li2CO3']"
"['Mn0.5Co0.5C1O3', 'Li2CO3']",Li1.2Mn0.4Co0.4O2,0.8 (Co0.5Mn0.5)CO3 + 0.6 Li2CO3 + 0.3 O2 == 1 Li1.2Co0.4Mn0.4O2 + 1.4 CO2,2011,['calcined'],[[900.0]],[[12.0]],,,900.0,12.0,10.1021/cm200250a,True,2,"['Li2CO3', 'Mn0.5Co0.5C1O3']"
"['Co', 'MnO2', 'LiHO', 'Ni']",Li1.2Mn0.54Co0.13Ni0.13O2,0.13 Co + 1.2 LiOH + 0.54 MnO2 + 0.13 Ni + 0.16 O2 == 1 Li1.2Mn0.54Ni0.13Co0.13O2 + 0.6 H2O,2013,['sintered'],[[900.0]],[[]],900.0,,,,10.1038/srep03332,True,1,"['Co', 'LiHO', 'MnO2', 'Ni']"
"['MnO2', 'Co3O4', 'NiO', 'Li2CO3']",Li1.2Mn0.54Co0.13Ni0.13O2,0.043 Co3O4 + 0.6 Li2CO3 + 0.54 MnO2 + 0.13 NiO + 0.008 O2 == 1 Li(Li0.2Mn0.54Ni0.13Co0.13)O2 + 0.6 CO2,2012,"['sintered', 'calcined']","[[450.0], [900.0]]","[[5.0], [10.0]]",675.0,14.5,850.0,10.0,10.1016/j.jssc.2012.06.006,True,4,"['Co3O4', 'Li2CO3', 'MnO2', 'NiO']"
"['MnO2', 'NiO', 'CoO', 'LiHO']",Li1.2Mn0.56Co0.08Ni0.16O2,0.08 CoO + 1.2 LiOH·H2O + 0.56 MnO2 + 0.16 NiO + 0.02 O2 == 1 Li(Li0.2Mn0.56Ni0.16Co0.08)O2 + 1.8 H2O,2014,"['pre-calcined', 'calcination']","[[600.0], [900.0]]","[[8.0], [12.0]]",,,900.0,12.0,10.1016/j.partic.2013.01.004,True,2,"['CoO', 'LiHO', 'MnO2', 'NiO']"
"['TiO2', 'Li2CO3']",Li1.33Ti1.67O4,0.665 Li2CO3 + 1.67 TiO2 == 1 Li1.33Ti1.67O4 + 0.665 CO2 + 0.002 O2,2002,"['fired', 'sintered']","[[800.0], [900.0]]","[[10.0], [10.0]]",900.0,10.0,,,10.1016/s0167-2738(01)01039-6,True,2,"['Li2CO3', 'TiO2']"
"['TiO2', 'LiHO']",Li1.33Ti1.67O4,1.33 LiOH·H2O + 1.67 TiO2 == 1 Li1.33Ti1.67O4 + 1.995 H2O + 0.002 O2,1999,"['calcined', 'sintered']","[[800.0], [900.0]]","[[], []]",900.0,,800.0,,10.1016/s0167-2738(99)00095-8,True,2,"['LiHO', 'TiO2']"
"['MnCO3', 'Cr2O3', 'Li2CO3']",Li1.3Mn0.6Cr0.1O2,0.05 Cr2O3 + 0.65 Li2CO3 + 0.6 MnCO3 + 0.3 O2 == 1 Li(Li0.3Cr0.1Mn0.6)O2 + 1.25 CO2,2004,['sintered'],[[1000.0]],[[20.0]],1000.0,20.0,,,10.1016/j.ssi.2003.12.005,True,2,"['Cr2O3', 'Li2CO3', 'MnCO3']"
"['TiO2', 'Al2O3', 'PH6NO4', 'Li2CO3']",Li1.3Ti1.7Al0.3P3O12,0.15 Al2O3 + 0.65 Li2CO3 + 3 NH4H2PO4 + 1.7 TiO2 == 1 Li1.3Al0.3Ti1.7(PO4)3 + 0.65 CO2 + 4.5 H2O + 3 NH3,2005,['calcined'],[[900.0]],[[2.0]],,,930.0,4.0,10.1111/j.1551-2916.2005.00246.x,True,2,"['Al2O3', 'Li2CO3', 'PH6NO4', 'TiO2']"
"['TiO2', 'Al2O3', 'PH9(NO2)2', 'Li2CO3']",Li1.3Ti1.7Al0.3P3O12,3 (NH4)2HPO4 + 0.15 Al2O3 + 0.65 Li2CO3 + 1.7 TiO2 == 1 Li1.3Al0.3Ti1.7(PO4)3 + 0.65 CO2 + 4.5 H2O + 6 NH3,2005,[],[],[],,,900.0,2.0,10.1002/polb.20371,True,2,"['Al2O3', 'Li2CO3', 'PH9(NO2)2', 'TiO2']"
"['PH6NO4', 'Al2O3', 'V2O5', 'Li2CO3', 'TiO2']",Li1.3Ti1.7Al0.3V0.1P2.9O12,0.15 Al2O3 + 0.65 Li2CO3 + 2.9 NH4H2PO4 + 1.7 TiO2 + 0.05 V2O5 == 1 Li1.3Al0.3Ti1.7(PO4)2.9(VO4)0.1 + 0.65 CO2 + 4.35 H2O + 2.9 NH3,2005,['calcined'],[[900.0]],[[2.0]],,,900.0,2.0,10.1111/j.1551-2916.2005.00246.x,True,2,"['Al2O3', 'Li2CO3', 'PH6NO4', 'TiO2', 'V2O5']"
"['Li1Mn1.5Ni0.5O4', 'Li2CO3']",Li1.5Mn0.75Ni0.25O2.5,0.5 Li2CO3 + 0.5 LiNi0.5Mn1.5O4 == 1 Li1.5Ni0.25Mn0.75O2.5 + 0.5 CO2,2009,"['treated', 'calcination', 'calcination']","[[], [600.0], [900.0]]","[[], [15.0], [15.0]]",,,900.0,15.0,10.1039/b904098f,True,2,"['Li1Mn1.5Ni0.5O4', 'Li2CO3']"
"['GeO2', 'ZnO', 'Li2CO3']",Li14Zn(GeO4)4,4 GeO2 + 7 Li2CO3 + 1 ZnO == 1 Li14Zn(GeO4)4 + 7 CO2,2005,"['calcinated', 'fired']","[[700.0], [1100.0]]","[[2.0], [1.0]]",,,700.0,2.0,10.1016/j.jeurceramsoc.2005.03.171,True,2,"['GeO2', 'Li2CO3', 'ZnO']"
"['Al(HO)3', 'Co3O4', 'Li2CO3']",Li1Al0.01Co0.99O2,0.01 Al(OH)3 + 0.33 Co3O4 + 0.5 Li2CO3 + 0.082 O2 == 1 LiAl0.01Co0.99O2 + 0.5 CO2 + 0.015 H2O,2003,"['calcined', 'calcined']","[[800.0, 400.0], [800.0]]","[[24.0, 12.0], []]",,,800.0,24.0,10.1016/s0378-7753(03)00198-8,True,2,"['Al(HO)3', 'Co3O4', 'Li2CO3']"
"['Co0.2Ni0.8H2O2', 'LiHO']",Li1Co0.2Ni0.8O2,1 LiOH·H2O + 1 Ni0.8Co0.2(OH)2 + 0.25 O2 == 1 LiNi0.8Co0.2O2 + 2.5 H2O,2001,['sintered'],[[750.0]],[[8.0]],750.0,8.0,,,10.1016/s0378-7753(01)00477-3,True,2,"['Co0.2Ni0.8H2O2', 'LiHO']"
"['Co3O4', 'Ni(HO)2', 'Li2CO3']",Li1Co0.2Ni0.8O2,0.067 Co3O4 + 0.5 Li2CO3 + 0.8 Ni(OH)2 + 0.217 O2 == 1 LiNi0.8Co0.2O2 + 0.5 CO2 + 0.8 H2O,2007,"['calcined', 'fired']","[[600.0], [725.0]]","[[6.0], [24.0]]",,,600.0,6.0,10.1016/j.jpowsour.2007.06.233,True,2,"['Co3O4', 'Li2CO3', 'Ni(HO)2']"
"['HC', 'LiHO', 'PH6NO4', 'FeH12C6(NO4)3']",Li1Fe0.92P1O4,0.92 (NH4)3Fe(C2O4)3·3H2O + -2.76 C2H2 + 1 LiOH + 1 NH4H2PO4 == 1 LiFe0.92PO4 + 3.38 H2O + 3.76 NH3 + 5.71 O2,2013,"['heated', 'sintering']","[[300.0, 200.0], [720.0]]","[[3.0, 4.0], [12.0]]",720.0,12.0,,,10.1039/c3nr00253e,True,2,"['FeH12C6(NO4)3', 'HC', 'LiHO', 'PH6NO4']"
"['Fe(CO2)2', 'PH6NO4', 'CuO', 'Li2CO3']",Li1Fe0.997Cu0.003P1O4,0.003 CuO + 0.997 FeC2O4·2H2O + 0.5 Li2CO3 + 1 NH4H2PO4 + 0.498 O2 == 1 LiFe0.997Cu0.003PO4 + 2.494 CO2 + 3.494 H2O + 1 NH3,2009,['calcined'],"[[660.0, 400.0]]","[[2.5, 1.5]]",,,660.0,2.5,10.1016/j.matlet.2008.11.053,True,2,"['CuO', 'Fe(CO2)2', 'Li2CO3', 'PH6NO4']"
"['Mn0.3Co0.2Ni0.5H2O2', 'LiHO']",Li1Mn0.3Co0.2Ni0.5O2,1 (Ni0.5Co0.2Mn0.3)(OH)2 + 1 LiOH + 0.25 O2 == 1 Li(Ni0.5Co0.2Mn0.3)O2 + 1.5 H2O,2013,"['heated', 'calcined']","[[500.0], [850.0]]","[[6.0], [12.0]]",,,850.0,12.0,10.1016/j.jpowsour.2013.05.139,True,2,"['LiHO', 'Mn0.3Co0.2Ni0.5H2O2']"
"['MnO2', 'LiHO', 'Ni(HO)2']",Li1Mn0.5Ni0.5O2,1 LiOH·H2O + 0.5 MnO2 + 0.5 Ni(OH)2 == 1 LiNi0.5Mn0.5O2 + 2 H2O,2011,"['calcined', 'sintered']","[[650.0], [950.0]]","[[24.0], [15.0]]",950.0,15.0,650.0,24.0,10.1016/j.jpowsour.2011.01.018,True,4,"['LiHO', 'MnO2', 'Ni(HO)2']"
"['MnCO3', 'Fe(CO2)2', 'PH6NO4', 'Li2CO3']",Li1Mn0.6Fe0.4P1O4,0.4 FeC2O4·2H2O + 0.5 Li2CO3 + 0.6 MnCO3 + 1 NH4H2PO4 + 0.2 O2 == 1 Li(Mn0.6Fe0.4)PO4 + 1.9 CO2 + 2.3 H2O + 1 NH3,2001,"['decomposed', 'sintered']","[[280.0], [550.0]]","[[3.0], [24.0]]",550.0,24.0,,,10.1149/1.1375167,True,2,"['Fe(CO2)2', 'Li2CO3', 'MnCO3', 'PH6NO4']"
"['Li1Mn1.5Ni0.5O4', 'Li2CO3']",Li1Mn0.75Ni0.25O2.25,0.25 Li2CO3 + 0.5 LiNi0.5Mn1.5O4 == 1 LiNi0.25Mn0.75O2.25 + 0.25 CO2,2009,"['treated', 'calcination', 'calcination']","[[], [600.0], [900.0]]","[[], [15.0], [15.0]]",,,900.0,15.0,10.1039/b904098f,True,2,"['Li1Mn1.5Ni0.5O4', 'Li2CO3']"
"['MnCO3', 'LiP(HO2)2', 'Fe(CO2)2']",Li1Mn0.8Fe0.2P1O4,0.2 Fe(C2O4)·2H2O + 1 LiH2PO4 + 0.8 MnCO3 + 0.1 O2 == 1 LiFe0.2Mn0.8PO4 + 1.2 CO2 + 1.4 H2O,2012,['calcination'],[[550.0]],[[3.0]],,,550.0,3.0,10.1016/j.jpowsour.2011.12.050,True,2,"['Fe(CO2)2', 'LiP(HO2)2', 'MnCO3']"
"['MnCO3', 'Cr2O3', 'NiO', 'Li2CO3']",Li1Mn1.5Cr0.05Ni0.45O4,0.025 Cr2O3 + 0.5 Li2CO3 + 1.5 MnCO3 + 0.45 NiO + 0.738 O2 == 1 LiCr0.05Ni0.45Mn1.5O4 + 2 CO2,2012,"['treatment', 'annealing']","[[900.0], [700.0]]","[[24.0], [8.0]]",,,700.0,8.0,10.1016/j.jpowsour.2012.04.031,True,2,"['Cr2O3', 'Li2CO3', 'MnCO3', 'NiO']"
"['Mn2O3', 'Fe3O4', 'NiO', 'Li2CO3']",Li1Mn1.5Fe0.08Ni0.42O4,0.027 Fe3O4 + 0.5 Li2CO3 + 0.75 Mn2O3 + 0.42 NiO + 0.362 O2 == 1 LiFe0.08Mn1.5Ni0.42O4 + 0.5 CO2,2014,['calcined'],[[900.0]],[[24.0]],,,900.0,24.0,10.1149/2.0021411jes,True,2,"['Fe3O4', 'Li2CO3', 'Mn2O3', 'NiO']"
"['RuO2', 'NiO', 'MnO2', 'LiHO']",Li1Mn1.5Ni0.4Ru0.05O4,1 LiOH + 1.5 MnO2 + 0.4 NiO + 0.05 RuO2 == 1 LiNi0.4Ru0.05Mn1.5O4 + 0.5 H2O,2009,"['calcined', 'calcined']","[[650.0], [800.0]]","[[5.0], [15.0]]",,,800.0,15.0,10.1016/j.elecom.2009.05.054,True,2,"['LiHO', 'MnO2', 'NiO', 'RuO2']"
"['Mn0.75Ni0.25C1O3', 'Li2CO3']",Li1Mn1.5Ni0.5O4,0.5 Li2CO3 + 2 Ni0.25Mn0.75CO3 + 0.75 O2 == 1 LiNi0.5Mn1.5O4 + 2.5 CO2,2009,[],[],[],,,850.0,12.0,10.1149/1.3240197,True,2,"['Li2CO3', 'Mn0.75Ni0.25C1O3']"
"['MnCO3', 'NiCO3', 'Li2CO3']",Li1Mn1.5Ni0.5O4,0.5 Li2CO3 + 1.5 MnCO3 + 0.5 NiCO3 + 0.75 O2 == 1 LiNi0.5Mn1.5O4 + 2.5 CO2,2013,"['heated', 'heated', 'treatment', 'annealing']","[[500.0], [650.0], [900.0], [700.0]]","[[12.0], [12.0], [6.0], [48.0]]",,,700.0,48.0,10.1021/jp405158m,True,2,"['Li2CO3', 'MnCO3', 'NiCO3']"
"['MnCO3', 'NiO', 'Li2CO3']",Li1Mn1.5Ni0.5O4,0.5 Li2CO3 + 1.5 MnCO3 + 0.5 NiO + 0.75 O2 == 1 LiNi0.5Mn1.5O4 + 2 CO2,2012,"['treatment', 'annealed']","[[900.0], [700.0]]","[[24.0], [8.0]]",,,780.0,29.0,10.1002/adma.201104767,True,2,"['Li2CO3', 'MnCO3', 'NiO']"
"['MnO2', 'Ni(NO3)2', 'Li2CO3']",Li1Mn1.5Ni0.5O4,0.5 Li2CO3 + 1.5 MnO2 + 0.5 Ni(NO3)2·6H2O + 1 [OH-] == 1 LiNi0.5Mn1.5O4 + 0.5 CO2 + 3.5 H2O + 1 [NO3-],2009,['calcined'],[[750.0]],[[24.0]],,,750.0,24.0,10.1016/j.jpowsour.2008.11.001,True,2,"['Li2CO3', 'MnO2', 'Ni(NO3)2']"
"['Ni2O3', 'MnO2', 'Li2CO3']",Li1Mn1.5Ni0.5O4,0.5 Li2CO3 + 1.5 MnO2 + 0.25 Ni2O3 == 1 LiNi0.5Mn1.5O4 + 0.5 CO2 + 0.125 O2,2013,['calcinated'],[[800.0]],[[5.0]],,,800.0,5.0,10.1016/j.electacta.2013.07.034,True,2,"['Li2CO3', 'MnO2', 'Ni2O3']"
"['NiCO3', 'MnO2', 'Li2CO3']",Li1Mn1.5Ni0.5O4,0.5 Li2CO3 + 1.5 MnO2 + 0.5 NiCO3 == 1 LiNi0.5Mn1.5O4 + 1 CO2,2010,"['calcined', 'annealed']","[[900.0], [700.0]]","[[12.0], [48.0]]",,,775.0,36.0,10.1149/1.3439678,True,2,"['Li2CO3', 'MnO2', 'NiCO3']"
"['MnO2', 'NiO', 'Li2CO3']",Li1Mn1.5Ni0.5O4,0.5 Li2CO3 + 1.5 MnO2 + 0.5 NiO == 1 LiNi0.5Mn1.5O4 + 0.5 CO2,2014,['calcination'],[[]],[[]],,,950.0,18.0,10.1021/cm403400y,True,2,"['Li2CO3', 'MnO2', 'NiO']"
"['MnO2', 'NiH6(CO)4', 'LiH3(CO)2']",Li1Mn1.5Ni0.5O4,0.5 (CH3COO)2Ni·4H2O + 1 CH3COOLi·2H2O + 1.5 MnO2 + 2 [OH-] == 1 LiNi0.5Mn1.5O4 + 5 H2O + 2 [CH3COO-],2012,"['preheated', 'annealed']","[[360.0], [850.0]]","[[4.0], [10.0]]",,,850.0,10.0,10.1016/j.pnsc.2012.04.004,True,2,"['LiH3(CO)2', 'MnO2', 'NiH6(CO)4']"
"['MnHO2', 'LiHO', 'Ni(HO)2']",Li1Mn1.5Ni0.5O4,1 LiOH + 1.5 MnOOH + 0.5 Ni(OH)2 + 0.375 O2 == 1 LiNi0.5Mn1.5O4 + 1.75 H2O,2004,['calcined'],[[900.0]],[[3.0]],,,866.6666666666666,25.5,10.1016/j.electacta.2003.07.003,True,2,"['LiHO', 'MnHO2', 'Ni(HO)2']"
"['MnO2', 'LiHO', 'Ni(HO)2']",Li1Mn1.5Ni0.5O4,1 LiOH + 1.5 MnO2 + 0.5 Ni(OH)2 == 1 LiNi0.5Mn1.5O4 + 1 H2O,2006,"['calcined', 'annealed']","[[800.0], []]","[[12.0], [6.0]]",1000.0,12.0,800.0,6.0,10.1016/j.electacta.2005.12.018,True,4,"['LiHO', 'MnO2', 'Ni(HO)2']"
"['NiO', 'MnO2', 'LiHO']",Li1Mn1.5Ni0.5O4,1 LiOH + 1.5 MnO2 + 0.5 NiO == 1 LiNi0.5Mn1.5O4 + 0.5 H2O,2009,"['calcined', 'calcined']","[[650.0], [800.0]]","[[5.0], [15.0]]",950.0,12.0,850.0,13.5,10.1016/j.elecom.2009.05.054,True,4,"['LiHO', 'MnO2', 'NiO']"
"['Ni(NO3)2', 'MnO2', 'LiNO3']",Li1Mn1.5Ni0.5O4,1 LiNO3 + 1.5 MnO2 + 0.5 Ni(NO3)2·6H2O + 2 [OH-] == 1 LiNi0.5Mn1.5O4 + 4 H2O + 2 [NO3-],2013,['annealed'],[[800.0]],[[20.0]],,,800.0,20.0,10.1039/c3ta00192j,True,2,"['LiNO3', 'MnO2', 'Ni(NO3)2']"
"['MnCO3', 'NiCO3', 'Li2CO3']",Li1Mn1.6Ni0.4O4,0.5 Li2CO3 + 1.6 MnCO3 + 0.4 NiCO3 + 0.75 O2 == 1 LiNi0.4Mn1.6O4 + 2.5 CO2,2014,"['Annealing', 'annealed', 'annealed']","[[700.0], [700.0], [700.0]]","[[48.0], [48.0], []]",,,700.0,48.0,10.1016/j.jpowsour.2014.03.107,True,2,"['Li2CO3', 'MnCO3', 'NiCO3']"
"['MnO2', 'CoO', 'Li2CO3']",Li1Mn1.952Co0.048O4,0.048 CoO + 0.5 Li2CO3 + 1.952 MnO2 == 1 Li(Mn0.976Co0.024)2O4 + 0.5 CO2 + 0.226 O2,2004,['sintered'],[[800.0]],[[24.0]],800.0,24.0,,,10.1016/j.jmmm.2003.11.388,True,2,"['CoO', 'Li2CO3', 'MnO2']"
"['LiF', 'MnO2', 'NiO', 'Li2CO3']",Li1Mn1.95Ni0.05O3.98F0.02,0.49 Li2CO3 + 0.02 LiF + 1.95 MnO2 + 0.05 NiO == 1 LiMn1.95Ni0.05O3.98F0.02 + 0.49 CO2 + 0.23 O2,2014,"['calcined', 'treated']","[[750.0], [850.0]]","[[48.0], [4.0]]",,,750.0,48.0,10.1007/s10008-013-2265-2,True,2,"['Li2CO3', 'LiF', 'MnO2', 'NiO']"
"['Al(HO)3', 'LiMn2O4', 'Li2CO3']",Li1Mn1.96Al0.04O4,0.04 Al(OH)3 + 0.01 Li2CO3 + 0.98 LiMn2O4 + 0.005 O2 == 1 LiAl0.04Mn1.96O4 + 0.01 CO2 + 0.06 H2O,2006,"['calcined', 'heated', 'heated', 'maintained', 'calcined']","[[750.0], [], [120.0], [], [500.0]]","[[20.0], [], [], [2.0], [2.0]]",,,500.0,2.0,10.1016/j.electacta.2006.04.031,True,2,"['Al(HO)3', 'Li2CO3', 'LiMn2O4']"
"['Cr2H8N2O7', 'LiHO', 'MnH6(CO)4']",Li1Mn1.99Cr0.01O4,1.99 (CH3CO2)2Mn·4H2O + 0.005 (NH4)2Cr2O7 + 1 LiOH·H2O + 0.74 O2 + 3.98 [OH-] == 1 LiCr0.01Mn1.99O4 + 11.455 H2O + 0.01 NH3 + 3.98 [CH3COO-],2003,"['burned', 'calcined']","[[250.0], [800.0]]","[[20.0], [24.0]]",,,800.0,24.0,10.1016/s0013-4686(03)00197-x,True,2,"['Cr2H8N2O7', 'LiHO', 'MnH6(CO)4']"
