precursor_formulas,target_formula,Reaction,Year,Heating Operations,Heating Temperatures,Heating Times,Sintering Temperature,Sintering Time,Calcination Temperature,Calcination Time,DOI,Elements Match,Available Values Count
"['CeO2', 'Y2O3', 'Tb4O7']",Tb0.05Ce0.9Y0.05O2,0.9 CeO2 + 0.019 O2 + 0.012 Tb4O7 + 0.025 Y2O3 == 1 Ce0.9Tb0.05Y0.05O2,2010,['calcination'],[[]],"[[1.0, 1.0, 6.0]]",,,,1.0,10.1016/j.jeurceramsoc.2009.08.005,True,1
"['Mg(HO)2', 'Al(HO)3']",MgAl2O4,2 Al(OH)3 + 1 Mg(OH)2 == 1 MgAl2O4 + 4 H2O,2000,['calcined'],[[1200.0]],[[1.0]],,,1200.0,1.0,10.1016/s0032-5910(00)00208-4,True,2
"['Co(NO3)2', 'Fe(NO3)3', 'Bi(NO3)3']",Fe0.95Co0.05Bi1O3,1 Bi(NO3)3·5H2O + 0.05 Co(NO3)2·6H2O + 0.95 Fe(NO3)3·9H2O + 0.012 O2 + 5.95 [OH-] == 1 Bi(Fe0.95Co0.05)O3 + 16.825 H2O + 5.95 [NO3-],2009,"['calcined', 'heated', 'sintered']","[[450.0], [800.0], []]","[[24.0], [], []]",,,450.0,24.0,10.1063/1.3233944,True,2
"['MnCO3', 'Co2O3', 'La2O3', 'CaCO3']",Ca0.3La0.7Mn0.9Co0.1O3,0.3 CaCO3 + 0.05 Co2O3 + 0.35 La2O3 + 0.9 MnCO3 + 0.3 O2 == 1 La0.7Ca0.3Mn0.9Co0.1O3 + 1.2 CO2,2017,"['calcinated', 'annealed']","[[1000.0], [1300.0]]","[[24.0], [48.0]]",,,1300.0,48.0,10.1016/j.jmmm.2017.11.113,True,2
"['Nd2O3', 'SrCO3', 'MoO3']",SrNd4(MoO4)7,7 MoO3 + 2 Nd2O3 + 1 SrCO3 == 1 SrNd4(MoO4)7 + 1 CO2,2019,"['calcined', 'sintered']","[[600.0], []]","[[], []]",,,600.0,,10.1111/ijac.13178,True,1
"['La2O3', 'Nb2O5', 'Rb2CO3']",RbLaNb2O7,0.5 La2O3 + 1 Nb2O5 + 0.5 Rb2CO3 == 1 RbLaNb2O7 + 0.5 CO2,2003,[],[],[],,,1020.0,13.8,10.1021/cm0200902,True,2
"['SrCO3', 'PH6NO4', 'VO2']",SrV2(PO5)2,2 NH4H2PO4 + 1 SrCO3 + 2 VO2 == 1 Sr(VO)2(PO4)2 + 1 CO2 + 3 H2O + 2 NH3,2008,['annealing'],[[900.0]],[[]],,,900.0,,10.1103/physrevb.78.024418,True,1
"['TiO2', 'La2O3', 'Ta2O5']",La3TaTi2O11,1.5 La2O3 + 0.5 Ta2O5 + 2 TiO2 == 1 La3Ti2TaO11,2012,['calcined'],[[1450.0]],[[4.0]],1560.0,4.0,1325.0,7.0,10.1016/j.jeurceramsoc.2012.06.002,True,4
"['Cr2O3', 'MnH6(CO)4', 'LiNO3']",LiMnCrO4,0.5 Cr2O3 + 1 LiNO3 + 1 Mn(CH3COO)2·4H2O + 0.5 O2 + 3 [OH-] == 1 LiCrMnO4 + 5.5 H2O + 2 [CH3COO-] + 1 [NO3-],2014,"['heated', 'annealing', 'heating']","[[500.0], [600.0], []]","[[12.0], [], []]",,,600.0,,10.1016/j.progsolidstchem.2014.04.007,True,1
"['TiO2', 'Fe2O3']",TiFe2O5,1 Fe2O3 + 1 TiO2 == 1 Fe2TiO5,2018,['roasted'],[[1299.85]],[[15.0]],1299.85,2.0,1099.85,4.0,10.1016/j.powtec.2018.09.058,True,4
"['Nd2O3', 'ZnO', 'BaCO3']",BaNd2ZnO5,1 BaCO3 + 1 Nd2O3 + 1 ZnO == 1 Nd2BaZnO5 + 1 CO2,2001,"['calcined', 'sintered', 'annealed']","[[950.0], [], [850.0]]","[[20.0], [2.0], [2.0]]",,2.0,850.0,2.0,10.1016/s0955-2219(01)00104-2,True,3
"['WO3', 'La2O3']",La5.5W1O11.25,2.75 La2O3 + 1 WO3 == 1 La5.5WO11.25,2015,['calcined'],[[1000.0]],[[2.0]],,,1000.0,2.0,10.1016/j.ceramint.2015.05.091,True,2
"['SnO2', 'Nd2O3']",Nd2Sn2O7,1 Nd2O3 + 2 SnO2 == 1 Nd2Sn2O7,2006,"['heating', 'reheated']","[[], [1250.0]]","[[], [24.0]]",1550.0,10.0,1200.0,4.0,10.1016/j.jpowsour.2006.04.050,True,4
"['PH6NO4', 'BaCl2', 'BaCO3']",Ba5P3ClO12,4.5 BaCO3 + 0.5 BaCl2 + 3 NH4H2PO4 == 1 Ba5(PO4)3Cl + 4.5 CO2 + 4.5 H2O + 3 NH3,2017,['annealed'],[[950.0]],[[3.0]],,,950.0,3.0,10.1039/c7cp00451f,True,2
"['TiO2', 'CaCO3', 'Nb2O3']",Ca1Ti0.9Nb0.1O3,1 CaCO3 + 0.05 Nb2O3 + 0.025 O2 + 0.9 TiO2 == 1 CaTi0.9Nb0.1O3 + 1 CO2,2002,"['calcined', 'sintered']","[[1100.0], [1300.0]]","[[16.0], [16.0]]",1300.0,16.0,1100.0,16.0,10.1016/s0022-0248(02)01646-9,True,4
"['Yb2O3', 'CeO2', 'SrCO3']",Sr0.97Yb0.1Ce0.9O3,0.9 CeO2 + 0.04 O2 + 0.97 SrCO3 + 0.05 Yb2O3 == 1 Sr0.97Ce0.9Yb0.1O3 + 0.97 CO2,2007,"['fired', 'fired', 'sintered', 'sintered', 'ramped', 'held']","[[1100.0], [1250.0], [1450.0], [], [400.0], []]","[[24.0], [24.0], [24.0], [], [], [2.0]]",1450.0,24.0,,,10.1016/j.ssi.2007.02.022,True,2
"['La2O3', 'SrCO3', 'Nb2O5']",Sr0.15La2.85Nb1O7,1.425 La2O3 + 0.5 Nb2O5 + 0.037 O2 + 0.15 SrCO3 == 1 La2.85Sr0.15NbO7 + 0.15 CO2,2009,['calcined'],[[900.0]],[[15.0]],,,900.0,15.0,10.1149/1.3068397,True,2
"['Al2O3', 'Na2CO3', 'CaCO3', 'SiO2']",Na0.34Ca0.66Al1.66Si2.34O8,"0.83 Al2O3 + 0.66 CaCO3 + 0.17 Na2CO3 + 2.34 SiO2 == 1 Na0.34Ca0.66Al1.66Si2.34O8 + 0.83 CO2 ; target Na0.34Ca0.66Al1.66Si2.34O8 with additives Eu2+, Eu3+, Sm3+ via Eu2O3, Sm2O3",2015,"['fired', 'calcined']","[[1220.0], [1000.0]]","[[2.0], [2.0]]",,,1000.0,2.0,10.1016/j.solidstatesciences.2015.07.004,True,2
"['CaCO3', 'SiO2']",Ca2SiO4,2 CaCO3 + 1 SiO2 == 1 Ca2SiO4 + 2 CO2,2006,"['melted', 'annealed']","[[1650.0], [760.0]]","[[2.0], [5.0]]",1050.0,4.0,855.0,4.5,10.1016/j.jnoncrysol.2006.08.022,True,4
"['RuO2', 'CaCO3']",Ca2RuO4,2 CaCO3 + 1 RuO2 == 1 Ca2RuO4 + 2 CO2,2005,['sintered'],[[1350.0]],[[]],1350.0,,,,10.1016/j.ssc.2004.10.008,True,1
"['TiO2', 'Nb2O5', 'MgO', 'Bi2O3']",Mg0.5Ti1.5Nb0.5Bi1.5O7,0.75 Bi2O3 + 0.5 MgO + 0.25 Nb2O5 + 1.5 TiO2 == 1 Bi1.5Mg0.5Nb0.5Ti1.5O7,2015,"['heated', 'sintered']","[[500.0], [1150.0]]","[[1.0], [4.0]]",1150.0,4.0,,,10.1007/s10854-014-2646-z,True,2
"['VH4NO3', 'PH6NO4', 'Li2CO3']",Li3V2(PO4)3,1.5 Li2CO3 + 3 NH4H2PO4 + 2 NH4VO3 == 1 Li3V2(PO4)3 + 1.5 CO2 + 5.5 H2O + 5 NH3 + 1 O2,2012,"['calcined', 'heated', 'sintered']","[[350.0], [], [700.0]]","[[6.0], [], [10.0]]",700.0,10.0,350.0,6.0,10.1149/2.001210jes,True,4
"['SnO2', 'ZrO2', 'PbO', 'BaCO3', 'TiO2', 'La2O3']",Ba0.04La0.02Zr0.65Ti0.05Sn0.3Pb0.93O3,0.04 BaCO3 + 0.01 La2O3 + 0.93 PbO + 0.3 SnO2 + 0.05 TiO2 + 0.65 ZrO2 == 1 (Pb0.93Ba0.04La0.02)(Zr0.65Sn0.3Ti0.05)O3 + 0.04 CO2,2018,"['calcined', 'calcined']","[[900.0], [1220.0]]","[[3.0], [3.0]]",,,1220.0,3.0,10.1016/j.jeurceramsoc.2018.08.003,True,2
"['MnCO3', 'RuO2', 'Sc2O3', 'SrCO3', 'La2O3']",Sr0.18La0.72Sc0.2Mn0.775Ru0.025O3,0.36 La2O3 + 0.775 MnCO3 + 0.308 O2 + 0.025 RuO2 + 0.1 Sc2O3 + 0.18 SrCO3 == 1 (La0.8Sr0.2)0.9Sc0.2Mn0.775Ru0.025O3 + 0.955 CO2,2019,"['calcined', 'heated']","[[1360.0], [900.0]]","[[10.0], [20.0]]",,,1360.0,10.0,10.1016/j.jallcom.2019.04.103,True,2
"['Fe(NO3)3', 'Bi(NO3)3']",FeBiO3,1 Bi(NO3)3·5H2O + 1 Fe(NO3)3·9H2O + 6 [OH-] == 1 BiFeO3 + 17 H2O + 6 [NO3-],2009,"['calcined', 'heated', 'sintered']","[[450.0], [800.0], []]","[[24.0], [], []]",,,450.0,13.0,10.1063/1.3233944,True,2
"['CoO', 'NiO', 'Fe2O3']",Fe2Co0.5Ni0.5O4,0.5 CoO + 1 Fe2O3 + 0.5 NiO == 1 Ni0.5Co0.5Fe2O4,2005,['presintered'],[[900.0]],[[12.0]],900.0,12.0,,,10.1016/j.matlet.2004.08.033,True,2
"['SiO2', 'CuO', 'BaCO3']",BaCu2Si2O7,1 BaCO3 + 2 CuO + 2 SiO2 == 1 BaCu2Si2O7 + 1 CO2,2001,"['calcined', 'treated']","[[850.0], [1015.0]]","[[12.0], [50.0]]",,,850.0,12.0,10.1016/s0925-8388(00)01315-3,True,2
"['Lu2O3', 'SiO2']",Lu2Si2O7,1 Lu2O3 + 2 SiO2 == 1 Lu2Si2O7,2006,['sintered'],[[1600.0]],[[4.0]],1600.0,4.0,,,10.1016/j.ceramint.2005.05.014,True,2
"['Al2O3', 'Eu2O3', 'SrO', 'Dy2O3']",Sr0.97Eu0.01Dy0.02Al2O4,1 Al2O3 + 0.01 Dy2O3 + 0.005 Eu2O3 + 0.97 SrO == 1 Eu0.01Dy0.02Sr0.97Al2O4 + 0.008 O2,2016,"['sintered', 'melted', 'heat', 'treatment']","[[], [2300.0], [], [1000.0]]","[[], [], [], [1.0]]",1350.0,3.0,,,10.1016/j.jlumin.2016.05.013,True,2
"['Yb2O3', 'Tb4O7', 'Fe2O3', 'Bi2O3']",Tb0.91Yb1.38Fe5Bi0.71O12,0.355 Bi2O3 + 2.5 Fe2O3 + 0.228 Tb4O7 + 0.69 Yb2O3 == 1 Tb0.91Yb1.38Bi0.71Fe5O12 + 0.114 O2,2009,"['calcined', 'calcined', 'sintered', 'annealed']","[[1100.0], [], [1150.0], []]","[[3.0], [], [3.0], []]",1150.0,3.0,1100.0,3.0,10.1016/j.physleta.2009.01.027,True,4
"['TiO2', 'Ga2O3']",Ti0.975Ga0.025O2,0.012 Ga2O3 + 0.006 O2 + 0.975 TiO2 == 1 Ga0.025Ti0.975O2,2017,['sintered'],[[1300.0]],[[5.0]],1300.0,5.0,,,10.1016/j.matdes.2017.03.037,True,2
"['Sc2O3', 'HfO2', 'CaCO3']",Ca1Hf0.9Sc0.1O3,1 CaCO3 + 0.9 HfO2 + 0.025 O2 + 0.05 Sc2O3 == 1 CaHf0.9Sc0.1O3 + 1 CO2,2020,"['calcined', 'sintered']","[[1300.0], [1600.0]]","[[10.0], [10.0]]",1600.0,10.0,1300.0,10.0,10.1016/j.jallcom.2020.155126,True,4
"['TiO2', 'La2O3', 'Li2CO3']",Li0.3La0.57Ti1O3,0.285 La2O3 + 0.15 Li2CO3 + 1 TiO2 == 1 La0.57Li0.30TiO3 + 0.15 CO2 + 0.002 O2,2006,['sintered'],[[1450.0]],[[8.0]],1400.0,7.0,1150.0,12.0,10.1016/j.jpowsour.2006.04.117,True,4
"['Co2O3', 'SrCO3', 'MoO3']",Sr2CoMoO6,0.5 Co2O3 + 1 MoO3 + 2 SrCO3 == 1 Sr2CoMoO6 + 2 CO2 + 0.25 O2,2020,['calcined'],[[1150.0]],"[[15.0, 3.0]]",,,1150.0,15.0,10.1016/j.compscitech.2019.107931,True,2
"['Eu2O3', 'Y2O3']",Eu0.14Y1.86O3,0.07 Eu2O3 + 0.93 Y2O3 == 1 Y1.86Eu0.14O3,2011,['calcined'],[[1300.0]],[[4.0]],,,1300.0,4.0,10.1007/s10853-011-5508-6,True,2
"['TiO2', 'La2O3', 'SrCO3', 'Co3O4']",Sr0.7La0.3Ti0.93Co0.07O3,0.023 Co3O4 + 0.15 La2O3 + 0.7 SrCO3 + 0.93 TiO2 == 1 La0.3Sr0.7Co0.07Ti0.93O3 + 0.7 CO2 + 0.052 O2,2013,"['calcining', 'calcined', 'reduced']","[[1000.0], [1300.0], [1400.0]]","[[4.0], [5.0], [10.0]]",,,1300.0,5.0,10.1039/c3ta11315a,True,2
"['Ga2O3', 'Ta2O5', 'BaCO3']",Ba6Ta9GaO30,6 BaCO3 + 0.5 Ga2O3 + 4.5 Ta2O5 == 1 Ba6GaTa9O30 + 6 CO2,2015,"['firing', 'calcined']","[[], [1599.85, 1199.85]]","[[], [60.0, 72.0, 24.0]]",,,1399.85,36.0,10.1021/acs.inorgchem.5b01098,True,2
"['CdO', 'Fe2O3']",Cd(FeO2)2,1 CdO + 1 Fe2O3 == 1 CdFe2O4,2003,"['calcined', 'sintered']","[[900.0], [1000.0]]","[[12.0], [20.0]]",1000.0,20.0,900.0,12.0,10.1016/s0304-8853(02)01573-1,True,4
"['TiO2', 'Ba2CO3']",BaTiO3,0.5 Ba2CO3 + 0.25 O2 + 1 TiO2 == 1 BaTiO3 + 0.5 CO2,2019,['calcination'],"[[900.0, 1000.0]]",[[]],,,900.0,,10.1016/j.matchemphys.2019.05.095,True,1
"['Fe2O3', 'NiO', 'CuO', 'ZnO']",Zn0.65Fe1.96Cu0.14Ni0.21O3.94,0.14 CuO + 0.98 Fe2O3 + 0.21 NiO + 0.65 ZnO == 1 (NiO)0.21(CuO)0.14(ZnO)0.65(Fe2O3)0.98,2012,['calcined'],[[800.0]],[[2.0]],,,800.0,2.0,10.1016/j.jmmm.2011.08.024,True,2
"['CaCO3', 'Nb2O5', 'Cs2CO3', 'TiO2', 'La2O3']",CsCaLaTiNb2O10,1 CaCO3 + 0.5 Cs2CO3 + 0.5 La2O3 + 1 Nb2O5 + 1 TiO2 == 1 CsCaLaTiNb2O10 + 1.5 CO2,2000,['calcined'],"[[1150.0, 1050.0]]",[[24.0]],,,1150.0,24.0,10.1039/a908454a,True,2
"['Nb2O5', 'NaNO3', 'KNbO3']",K0.5Na0.5Nb1O3,0.5 KNbO3 + 0.5 NaNO3 + 0.25 Nb2O5 + 0.5 [OH-] == 1 (K0.5Na0.5)NbO3 + 0.25 H2O + 0.5 [NO3-],2013,"['calcined', 'calcined', 'calcined']","[[950.0], [], []]","[[6.0], [], []]",,,950.0,6.0,10.1016/j.matchemphys.2012.12.082,True,2
"['Al2O3', 'Y2O3', 'Tb4O7']",Tb0.36Y2.64Al5O12,2.5 Al2O3 + 0.09 Tb4O7 + 1.32 Y2O3 == 1 (Y0.88Tb0.12)3Al5O12 + 0.045 O2,2020,['sintered'],[[1300.0]],[[20.0]],1300.0,20.0,,,10.1016/j.optmat.2020.110001,True,2
"['Co2O3', 'NiO', 'Fe2O3', 'ZnO']",Zn0.52Fe2.23Co0.03Ni0.22O4,0.015 Co2O3 + 1.115 Fe2O3 + 0.22 NiO + 0.52 ZnO == 1 Ni0.22Zn0.52Co0.03Fe2.23O4 + 0.065 O2,2014,"['sintered', 'annealed']","[[1300.0], [900.0, 800.0, 700.0, 600.0]]","[[], []]",1300.0,,900.0,,10.1016/j.jmmm.2014.05.005,True,2
"['SnO2', 'La2O3', 'In2O3', 'BaCO3']",Ba0.9La0.1In0.5Sn0.5O2.8,0.9 BaCO3 + 0.25 In2O3 + 0.05 La2O3 + 0.5 SnO2 == 1 Ba0.9La0.1Sn0.5In0.5O2.8 + 0.9 CO2,2017,['annealed'],"[[1550.0, 1500.0]]",[[]],,,1550.0,,10.1016/j.ssi.2017.05.010,True,1
"['Na2CO3', 'IrO2']",Na2IrO3,1 IrO2 + 1 Na2CO3 == 1 Na2IrO3 + 1 CO2,2010,['heated'],[[900.0]],[[]],900.0,12.0,,,10.1103/physrevb.82.064412,True,2
"['Pr6O11', 'SrCO3', 'MoO3']",SrPr4(MoO4)7,7 MoO3 + 0.667 Pr6O11 + 1 SrCO3 == 1 SrPr4(MoO4)7 + 1 CO2 + 0.667 O2,2019,"['calcined', 'sintered']","[[600.0], []]","[[], []]",,,600.0,,10.1111/ijac.13178,True,1
"['MnO2', 'MgO', 'LiHO']",Li1.034Mg0.08Mn1.886O4.01,1.034 LiOH + 0.08 MgO + 1.886 MnO2 == 1 Li1.034Mg0.080Mn1.886O4.010 + 0.517 H2O + 0.18 O2,2004,"['preheated', 'sintered', 'annealed']","[[470.0], [950.0], [800.0]]","[[5.0], [10.0], []]",950.0,10.0,800.0,,10.1016/j.electacta.2003.11.032,True,3
"['V2O5', 'Li3PO4', 'Li2CO3']",Li3V0.4P0.6O4,0.6 Li2CO3 + 0.6 Li3PO4 + 0.2 V2O5 == 1 Li3V0.4P0.6O4 + 0.6 CO2,2009,['sintered'],[[800.0]],[[4.0]],800.0,4.0,,,10.1016/j.ssi.2008.09.010,True,2
"['SnO2', 'ZrO2', 'Nb2O5', 'PbO', 'TiO2']",Zr0.84672Ti0.0392Nb0.02Sn0.09408Pb0.99O3,0.01 Nb2O5 + 0.99 PbO + 0.094 SnO2 + 0.039 TiO2 + 0.847 ZrO2 == 1 Pb0.99((Zr0.90Sn0.10)0.96Ti0.04)0.98Nb0.02O3,2014,"['calcined', 'sintered']","[[850.0], [1280.0]]","[[3.0], [3.0]]",1280.0,3.0,850.0,3.0,10.1016/j.ceramint.2014.03.121,True,4
"['Mn', 'Mn2N', 'Ga']",Mn3GaN,1 Ga + 1 Mn + 1 Mn2N == 1 Mn3GaN,2016,"['sintered', 'sintered']","[[], [800.0]]","[[2.0], []]",800.0,2.0,,,10.1002/adma.201600310,True,2
"['Te(HO2)2', 'Fe2O3', 'BaCO3']",Ba3Fe2TeO9,3 BaCO3 + 1 Fe2O3 + 1 H2TeO4·2H2O == 1 Ba3Fe2TeO9 + 3 CO2 + 3 H2O,2006,"['treated', 'calcined', 'fired']","[[500.0], [800.0], [950.0]]","[[24.0], [24.0], [120.0]]",,,800.0,24.0,10.1039/b607376j,True,2
"['Cr2O3', 'La2O3', 'SrCO3']",Sr0.2La0.8Cr1O3,0.5 Cr2O3 + 0.4 La2O3 + 0.05 O2 + 0.2 SrCO3 == 1 La0.8Sr0.2CrO3 + 0.2 CO2,2006,"['calcined', 'sintered', 'fired']","[[1300.0], [1550.0], [850.0]]","[[10.0], [10.0], []]",1550.0,10.0,1300.0,10.0,10.1016/j.memsci.2006.03.011,True,4
"['SnO2', 'TiO2', 'BaCO3']",Ba1Ti0.96Sn0.04O3,1 BaCO3 + 0.04 SnO2 + 0.96 TiO2 == 1 Ba(Ti0.96Sn0.04)O3 + 1 CO2,2019,['calcined'],[[1050.0]],[[4.0]],1320.0,,1050.0,4.0,10.1016/j.jeurceramsoc.2019.01.041,True,3
"['La2O3', 'SrCO3', 'Co3O4']",Sr0.75La1.25Co1O4.03,0.333 Co3O4 + 0.625 La2O3 + 0.036 O2 + 0.75 SrCO3 == 1 La1.25Sr0.75CoO4.03 + 0.75 CO2,2016,"['calcined', 'calcined']","[[1100.0], [1200.0]]","[[24.0], [10.0]]",,,1200.0,10.0,10.1016/j.fuproc.2016.02.018,True,2
"['Na2CO3', 'Mn2O3']",Na0.44Mn1O2,0.5 Mn2O3 + 0.22 Na2CO3 + 0.14 O2 == 1 Na0.44MnO2 + 0.22 CO2,2010,"['reacted', 'heated', 'held', 'heated']","[[], [300.0], [], [800.0]]","[[], [], [2.0], [12.0]]",,,850.0,12.0,10.1149/1.3428667,True,2
"['Al2O3', 'BaCO3']",BaAl9O15,4.5 Al2O3 + 1 BaCO3 + 0.25 O2 == 1 BaAl9O15 + 1 CO2,1999,['calcining'],[[]],[[]],,,1250.0,2.0,10.1016/s0167-2738(99)00084-3,True,2
"['Sb2O3', 'Bi2O3', 'BaCO3']",Ba2BiSbO6,2 BaCO3 + 0.5 Bi2O3 + 0.5 O2 + 0.5 Sb2O3 == 1 Ba2BiSbO6 + 2 CO2,2008,"['heated', 'sintered']","[[], [850.0]]","[[], []]",1000.0,6.0,1050.0,6.0,10.1063/1.3026654,True,4
"['CaCl2', 'Ca3V2O8']",Ca5V3ClO12,1.5 Ca3(VO4)2 + 0.5 CaCl2 == 1 Ca5(VO4)3Cl,2020,"['calcined', 'calcination']","[[1099.85], [799.85]]","[[10.0], [10.0]]",,,799.85,10.0,10.1002/asia.201901692,True,2
"['SrCO3', 'MoO3']",Sr0.9Mo1O4,1 MoO3 + 0.05 O2 + 0.9 SrCO3 == 1 Sr0.9MoO4 + 0.9 CO2 ; target Sr0.9MoO4 with additives 0.05Eu3+ via Eu2O3,2015,['sintered'],"[[900.0, 600.0]]","[[4.0, 5.0]]",900.0,4.0,,,10.1016/j.apt.2014.12.001,True,2
"['Ga2O3', 'SrCO3', 'CaCO3', 'Fe2O3']",SrCaGaFeO6,1 CaCO3 + 0.5 Fe2O3 + 0.5 Ga2O3 + 0.5 O2 + 1 SrCO3 == 1 CaSrFeGaO6 + 2 CO2,2019,"['calcined', 'sintered', 'heating', 'sintered', 'heating']","[[1000.0], [1200.0], [], [1200.0], []]","[[24.0], [24.0], [], [], []]",1200.0,24.0,1000.0,24.0,10.1016/j.matchemphys.2019.121924,True,4
"['ReH4NO4', 'Bi2O3']",ReBi9O7,4.5 Bi2O3 + 1 NH4ReO4 == 1 Bi9ReO7 + 0.5 H2O + 1 NH3 + 5 O2,2010,['calcined'],[[799.85]],[[36.0]],,,799.85,36.0,10.1016/j.ssi.2010.09.028,True,2
"['WO3', 'La2O3', 'Na2CO3', 'Eu2O3']",Na1La0.8Eu0.2W2O8,0.1 Eu2O3 + 0.4 La2O3 + 0.5 Na2CO3 + 2 WO3 == 1 Eu0.20NaLa0.80(WO4)2 + 0.5 CO2,2013,[],[],[],,,,4.0,10.1016/j.jlumin.2013.04.031,True,1
"['Nb2O5', 'Li2O', 'ZnO']",LiNbZnO4,0.5 Li2O + 0.5 Nb2O5 + 1 ZnO == 1 LiZnNbO4,2019,"['calcined', 'sintered', 'fired', 'sintered']","[[500.0], [900.0], [600.0], [1100.0]]","[[10.0], [2.0], [2.0], [4.0]]",1100.0,4.0,500.0,10.0,10.1016/j.jallcom.2018.08.244,True,4
"['MnO', 'La2O3', 'HfO2']",La0.9Hf0.1Mn1O3,0.1 HfO2 + 0.45 La2O3 + 1 MnO + 0.225 O2 == 1 La0.9Hf0.1MnO3,2007,['annealed'],[[700.0]],[[]],,,700.0,,10.1016/j.mseb.2007.07.098,True,1
"['Yb2O3', 'Fe2O3']",YbFeO3,0.5 Fe2O3 + 0.5 Yb2O3 == 1 YbFeO3,2019,"['calcination', 'calcination', 'sintered', 'increased']","[[], [1200.0], [1150.0], [99.85000000000002, 100.0, -100.14999999999998, -100.0]]","[[], [12.0], [4.0], []]",1175.0,4.0,1200.0,12.0,10.1016/j.jallcom.2019.02.141,True,4
"['MgO', 'SiO2', 'Y2O3']",Y2MgSi3O10,1 MgO + 3 SiO2 + 1 Y2O3 == 1 MgY2Si3O10 ; target MgY2Si3O10 with additives 0.14Eu3+ via Eu2O3,2015,['sintered'],[[1350.0]],[[6.0]],1350.0,6.0,,,10.1039/c4dt02114b,True,2
"['Lu2O3', 'SrCO3', 'Ru']",Sr2LuRuO6,0.5 Lu2O3 + 1.25 O2 + 1 Ru + 2 SrCO3 == 1 Sr2LuRuO6 + 2 CO2,2010,"['heated', 'treatments', 'sintering']","[[960.0], [1350.0], [1360.0]]","[[24.0], [], [24.0]]",1360.0,24.0,,,10.1016/j.ssc.2010.01.004,True,2
"['Cu2O', 'Nd2O3']",NdCuO2,0.5 Cu2O + 0.5 Nd2O3 == 1 CuNdO2,2012,"['calcined', 'sintered']","[[], [950.0]]","[[], [4.0]]",950.0,4.0,,,10.1016/j.jpcs.2012.05.004,True,2
"['TiO2', 'La2O3', 'Na2CO3', 'Bi2O3']",Na0.5La0.5Ti4Bi4O15,2 Bi2O3 + 0.25 La2O3 + 0.25 Na2CO3 + 4 TiO2 == 1 Na0.5La0.5Bi4Ti4O15 + 0.25 CO2,2010,"['calcined', 'calcined', 'burnt', 'heating', 'sintered']","[[900.0, 800.0], [], [], [500.0], [1150.0]]","[[10.0, 5.0], [], [], [5.0], [4.0]]",1150.0,4.0,900.0,10.0,10.1016/j.mseb.2010.05.008,True,4
"['TiO2', 'Nd2O3', 'Fe2O3', 'Bi2O3']",Nd0.15Ti0.1Fe0.9Bi0.85O3,0.425 Bi2O3 + 0.45 Fe2O3 + 0.075 Nd2O3 + 0.1 TiO2 == 1 Bi0.85Nd0.15Fe0.9Ti0.1O3 + 0.025 O2,2013,"['calcination', 'sintering']","[[1020.0], [1050.0]]","[[3.0], [3.0]]",1050.0,3.0,1020.0,3.0,10.1002/adfm.201201835,True,4
"['ZrO2', 'MgO', 'Li2CO3']",Li2MgZrO4,1 Li2CO3 + 1 MgO + 1 ZrO2 == 1 Li2MgZrO4 + 1 CO2,2016,[],[],[],1387.5,5.0,1050.0,3.0,10.1016/j.matlet.2016.08.067,True,4
"['Y2O3', 'Fe2O3']",Y3Fe5O12,2.5 Fe2O3 + 1.5 Y2O3 == 1 Y3Fe5O12,2003,"['calcined', 'sintering']","[[1300.0], [1450.0]]","[[3.0], [6.0]]",1296.8000000000002,7.75,1266.6166666666666,2.6666666666666665,10.1016/s0254-0584(02)00273-0,True,4
"['MnCO3', 'Ga2O3', 'CaCO3', 'ZnO']",Ca14Mn0.15Zn6Ga9.85O35,14 CaCO3 + 4.925 Ga2O3 + 0.15 MnCO3 + 0.038 O2 + 6 ZnO == 1 Mn0.15Ca14Ga9.85Zn6O35 + 14.15 CO2,2019,"['preheated', 'hold', 'sintered']","[[1000.0], [], [1250.0]]","[[], [2.0], [4.0]]",1250.0,4.0,,,10.1016/j.cej.2019.05.201,True,2
"['NiO', 'Fe2O3', 'ZnO']",Zn0.4Fe2Ni0.6O4,1 Fe2O3 + 0.6 NiO + 0.4 ZnO == 1 Ni0.6Zn0.4Fe2O4,2019,['calcining'],[[1000.0]],[[6.0]],,,1000.0,6.0,10.1063/1.5099299,True,2
"['Co2O3', 'Pr6O11', 'CaCO3', 'Mn2O3']",Ca0.3Pr0.7Mn0.95Co0.05O3,0.3 CaCO3 + 0.025 Co2O3 + 0.475 Mn2O3 + 0.117 Pr6O11 == 1 Pr0.7Ca0.3Mn0.95Co0.05O3 + 0.3 CO2 + 0.042 O2,2017,['sintered'],[[1300.0]],[[24.0]],1300.0,24.0,,,10.1007/s10854-016-5742-4,True,2
"['Co2O3', 'V2O5']",V2Co3O8,1.5 Co2O3 + 1 V2O5 == 1 Co3V2O8 + 0.75 O2,2007,"['reacted', 'sintered', 'sintered']","[[850.0], [950.0, 1050.0], [1050.0]]","[[24.0], [48.0], []]",1050.0,48.0,,,10.1103/physrevb.75.064427,True,2
